title,table_number,cell_number,level,total,white,black,aian,asian,nhopi,sor,two,hispanic,sex,start_age,end_age,median_age
46 years,PCT12E,PCT012E049,tract,missing,N,N,N,N,Y,N,missing,missing,male,46,46,missing
47 years,PCT12E,PCT012E050,tract,missing,N,N,N,N,Y,N,missing,missing,male,47,47,missing
48 years,PCT12E,PCT012E051,tract,missing,N,N,N,N,Y,N,missing,missing,male,48,48,missing
49 years,PCT12E,PCT012E052,tract,missing,N,N,N,N,Y,N,missing,missing,male,49,49,missing
50 years,PCT12E,PCT012E053,tract,missing,N,N,N,N,Y,N,missing,missing,male,50,50,missing
51 years,PCT12E,PCT012E054,tract,missing,N,N,N,N,Y,N,missing,missing,male,51,51,missing
52 years,PCT12E,PCT012E055,tract,missing,N,N,N,N,Y,N,missing,missing,male,52,52,missing
53 years,PCT12E,PCT012E056,tract,missing,N,N,N,N,Y,N,missing,missing,male,53,53,missing
54 years,PCT12E,PCT012E057,tract,missing,N,N,N,N,Y,N,missing,missing,male,54,54,missing
55 years,PCT12E,PCT012E058,tract,missing,N,N,N,N,Y,N,missing,missing,male,55,55,missing
56 years,PCT12E,PCT012E059,tract,missing,N,N,N,N,Y,N,missing,missing,male,56,56,missing
57 years,PCT12E,PCT012E060,tract,missing,N,N,N,N,Y,N,missing,missing,male,57,57,missing
58 years,PCT12E,PCT012E061,tract,missing,N,N,N,N,Y,N,missing,missing,male,58,58,missing
59 years,PCT12E,PCT012E062,tract,missing,N,N,N,N,Y,N,missing,missing,male,59,59,missing
60 years,PCT12E,PCT012E063,tract,missing,N,N,N,N,Y,N,missing,missing,male,60,60,missing
61 years,PCT12E,PCT012E064,tract,missing,N,N,N,N,Y,N,missing,missing,male,61,61,missing
62 years,PCT12E,PCT012E065,tract,missing,N,N,N,N,Y,N,missing,missing,male,62,62,missing
63 years,PCT12E,PCT012E066,tract,missing,N,N,N,N,Y,N,missing,missing,male,63,63,missing
64 years,PCT12E,PCT012E067,tract,missing,N,N,N,N,Y,N,missing,missing,male,64,64,missing
65 years,PCT12E,PCT012E068,tract,missing,N,N,N,N,Y,N,missing,missing,male,65,65,missing
66 years,PCT12E,PCT012E069,tract,missing,N,N,N,N,Y,N,missing,missing,male,66,66,missing
67 years,PCT12E,PCT012E070,tract,missing,N,N,N,N,Y,N,missing,missing,male,67,67,missing
68 years,PCT12E,PCT012E071,tract,missing,N,N,N,N,Y,N,missing,missing,male,68,68,missing
69 years,PCT12E,PCT012E072,tract,missing,N,N,N,N,Y,N,missing,missing,male,69,69,missing
70 years,PCT12E,PCT012E073,tract,missing,N,N,N,N,Y,N,missing,missing,male,70,70,missing
71 years,PCT12E,PCT012E074,tract,missing,N,N,N,N,Y,N,missing,missing,male,71,71,missing
72 years,PCT12E,PCT012E075,tract,missing,N,N,N,N,Y,N,missing,missing,male,72,72,missing
73 years,PCT12E,PCT012E076,tract,missing,N,N,N,N,Y,N,missing,missing,male,73,73,missing
74 years,PCT12E,PCT012E077,tract,missing,N,N,N,N,Y,N,missing,missing,male,74,74,missing
75 years,PCT12E,PCT012E078,tract,missing,N,N,N,N,Y,N,missing,missing,male,75,75,missing
76 years,PCT12E,PCT012E079,tract,missing,N,N,N,N,Y,N,missing,missing,male,76,76,missing
77 years,PCT12E,PCT012E080,tract,missing,N,N,N,N,Y,N,missing,missing,male,77,77,missing
78 years,PCT12E,PCT012E081,tract,missing,N,N,N,N,Y,N,missing,missing,male,78,78,missing
79 years,PCT12E,PCT012E082,tract,missing,N,N,N,N,Y,N,missing,missing,male,79,79,missing
80 years,PCT12E,PCT012E083,tract,missing,N,N,N,N,Y,N,missing,missing,male,80,80,missing
81 years,PCT12E,PCT012E084,tract,missing,N,N,N,N,Y,N,missing,missing,male,81,81,missing
82 years,PCT12E,PCT012E085,tract,missing,N,N,N,N,Y,N,missing,missing,male,82,82,missing
83 years,PCT12E,PCT012E086,tract,missing,N,N,N,N,Y,N,missing,missing,male,83,83,missing
84 years,PCT12E,PCT012E087,tract,missing,N,N,N,N,Y,N,missing,missing,male,84,84,missing
85 years,PCT12E,PCT012E088,tract,missing,N,N,N,N,Y,N,missing,missing,male,85,85,missing
86 years,PCT12E,PCT012E089,tract,missing,N,N,N,N,Y,N,missing,missing,male,86,86,missing
87 years,PCT12E,PCT012E090,tract,missing,N,N,N,N,Y,N,missing,missing,male,87,87,missing
88 years,PCT12E,PCT012E091,tract,missing,N,N,N,N,Y,N,missing,missing,male,88,88,missing
89 years,PCT12E,PCT012E092,tract,missing,N,N,N,N,Y,N,missing,missing,male,89,89,missing
90 years,PCT12E,PCT012E093,tract,missing,N,N,N,N,Y,N,missing,missing,male,90,90,missing
91 years,PCT12E,PCT012E094,tract,missing,N,N,N,N,Y,N,missing,missing,male,91,91,missing
92 years,PCT12E,PCT012E095,tract,missing,N,N,N,N,Y,N,missing,missing,male,92,92,missing
93 years,PCT12E,PCT012E096,tract,missing,N,N,N,N,Y,N,missing,missing,male,93,93,missing
94 years,PCT12E,PCT012E097,tract,missing,N,N,N,N,Y,N,missing,missing,male,94,94,missing
95 years,PCT12E,PCT012E098,tract,missing,N,N,N,N,Y,N,missing,missing,male,95,95,missing
96 years,PCT12E,PCT012E099,tract,missing,N,N,N,N,Y,N,missing,missing,male,96,96,missing
97 years,PCT12E,PCT012E100,tract,missing,N,N,N,N,Y,N,missing,missing,male,97,97,missing
98 years,PCT12E,PCT012E101,tract,missing,N,N,N,N,Y,N,missing,missing,male,98,98,missing
99 years,PCT12E,PCT012E102,tract,missing,N,N,N,N,Y,N,missing,missing,male,99,99,missing
100 to 104 years,PCT12E,PCT012E103,tract,missing,N,N,N,N,Y,N,missing,missing,male,100,104,missing
105 to 109 years,PCT12E,PCT012E104,tract,missing,N,N,N,N,Y,N,missing,missing,male,105,109,missing
110 years and over,PCT12E,PCT012E105,tract,missing,N,N,N,N,Y,N,missing,missing,male,110,110,missing
Under 1 year,PCT12E,PCT012E107,tract,missing,N,N,N,N,Y,N,missing,missing,female,0,0,missing
1 year,PCT12E,PCT012E108,tract,missing,N,N,N,N,Y,N,missing,missing,female,1,1,missing
2 years,PCT12E,PCT012E109,tract,missing,N,N,N,N,Y,N,missing,missing,female,2,2,missing
3 years,PCT12E,PCT012E110,tract,missing,N,N,N,N,Y,N,missing,missing,female,3,3,missing
4 years,PCT12E,PCT012E111,tract,missing,N,N,N,N,Y,N,missing,missing,female,4,4,missing
5 years,PCT12E,PCT012E112,tract,missing,N,N,N,N,Y,N,missing,missing,female,5,5,missing
6 years,PCT12E,PCT012E113,tract,missing,N,N,N,N,Y,N,missing,missing,female,6,6,missing
7 years,PCT12E,PCT012E114,tract,missing,N,N,N,N,Y,N,missing,missing,female,7,7,missing
8 years,PCT12E,PCT012E115,tract,missing,N,N,N,N,Y,N,missing,missing,female,8,8,missing
9 years,PCT12E,PCT012E116,tract,missing,N,N,N,N,Y,N,missing,missing,female,9,9,missing
10 years,PCT12E,PCT012E117,tract,missing,N,N,N,N,Y,N,missing,missing,female,10,10,missing
11 years,PCT12E,PCT012E118,tract,missing,N,N,N,N,Y,N,missing,missing,female,11,11,missing
12 years,PCT12E,PCT012E119,tract,missing,N,N,N,N,Y,N,missing,missing,female,12,12,missing
13 years,PCT12E,PCT012E120,tract,missing,N,N,N,N,Y,N,missing,missing,female,13,13,missing
14 years,PCT12E,PCT012E121,tract,missing,N,N,N,N,Y,N,missing,missing,female,14,14,missing
15 years,PCT12E,PCT012E122,tract,missing,N,N,N,N,Y,N,missing,missing,female,15,15,missing
16 years,PCT12E,PCT012E123,tract,missing,N,N,N,N,Y,N,missing,missing,female,16,16,missing
17 years,PCT12E,PCT012E124,tract,missing,N,N,N,N,Y,N,missing,missing,female,17,17,missing
18 years,PCT12E,PCT012E125,tract,missing,N,N,N,N,Y,N,missing,missing,female,18,18,missing
19 years,PCT12E,PCT012E126,tract,missing,N,N,N,N,Y,N,missing,missing,female,19,19,missing
20 years,PCT12E,PCT012E127,tract,missing,N,N,N,N,Y,N,missing,missing,female,20,20,missing
21 years,PCT12E,PCT012E128,tract,missing,N,N,N,N,Y,N,missing,missing,female,21,21,missing
22 years,PCT12E,PCT012E129,tract,missing,N,N,N,N,Y,N,missing,missing,female,22,22,missing
23 years,PCT12E,PCT012E130,tract,missing,N,N,N,N,Y,N,missing,missing,female,23,23,missing
24 years,PCT12E,PCT012E131,tract,missing,N,N,N,N,Y,N,missing,missing,female,24,24,missing
25 years,PCT12E,PCT012E132,tract,missing,N,N,N,N,Y,N,missing,missing,female,25,25,missing
26 years,PCT12E,PCT012E133,tract,missing,N,N,N,N,Y,N,missing,missing,female,26,26,missing
27 years,PCT12E,PCT012E134,tract,missing,N,N,N,N,Y,N,missing,missing,female,27,27,missing
28 years,PCT12E,PCT012E135,tract,missing,N,N,N,N,Y,N,missing,missing,female,28,28,missing
29 years,PCT12E,PCT012E136,tract,missing,N,N,N,N,Y,N,missing,missing,female,29,29,missing
30 years,PCT12E,PCT012E137,tract,missing,N,N,N,N,Y,N,missing,missing,female,30,30,missing
31 years,PCT12E,PCT012E138,tract,missing,N,N,N,N,Y,N,missing,missing,female,31,31,missing
32 years,PCT12E,PCT012E139,tract,missing,N,N,N,N,Y,N,missing,missing,female,32,32,missing
33 years,PCT12E,PCT012E140,tract,missing,N,N,N,N,Y,N,missing,missing,female,33,33,missing
34 years,PCT12E,PCT012E141,tract,missing,N,N,N,N,Y,N,missing,missing,female,34,34,missing
35 years,PCT12E,PCT012E142,tract,missing,N,N,N,N,Y,N,missing,missing,female,35,35,missing
36 years,PCT12E,PCT012E143,tract,missing,N,N,N,N,Y,N,missing,missing,female,36,36,missing
37 years,PCT12E,PCT012E144,tract,missing,N,N,N,N,Y,N,missing,missing,female,37,37,missing
38 years,PCT12E,PCT012E145,tract,missing,N,N,N,N,Y,N,missing,missing,female,38,38,missing
39 years,PCT12E,PCT012E146,tract,missing,N,N,N,N,Y,N,missing,missing,female,39,39,missing
40 years,PCT12E,PCT012E147,tract,missing,N,N,N,N,Y,N,missing,missing,female,40,40,missing
41 years,PCT12E,PCT012E148,tract,missing,N,N,N,N,Y,N,missing,missing,female,41,41,missing
42 years,PCT12E,PCT012E149,tract,missing,N,N,N,N,Y,N,missing,missing,female,42,42,missing
43 years,PCT12E,PCT012E150,tract,missing,N,N,N,N,Y,N,missing,missing,female,43,43,missing
44 years,PCT12E,PCT012E151,tract,missing,N,N,N,N,Y,N,missing,missing,female,44,44,missing
45 years,PCT12E,PCT012E152,tract,missing,N,N,N,N,Y,N,missing,missing,female,45,45,missing
46 years,PCT12E,PCT012E153,tract,missing,N,N,N,N,Y,N,missing,missing,female,46,46,missing
47 years,PCT12E,PCT012E154,tract,missing,N,N,N,N,Y,N,missing,missing,female,47,47,missing
48 years,PCT12E,PCT012E155,tract,missing,N,N,N,N,Y,N,missing,missing,female,48,48,missing
49 years,PCT12E,PCT012E156,tract,missing,N,N,N,N,Y,N,missing,missing,female,49,49,missing
50 years,PCT12E,PCT012E157,tract,missing,N,N,N,N,Y,N,missing,missing,female,50,50,missing
51 years,PCT12E,PCT012E158,tract,missing,N,N,N,N,Y,N,missing,missing,female,51,51,missing
52 years,PCT12E,PCT012E159,tract,missing,N,N,N,N,Y,N,missing,missing,female,52,52,missing
53 years,PCT12E,PCT012E160,tract,missing,N,N,N,N,Y,N,missing,missing,female,53,53,missing
54 years,PCT12E,PCT012E161,tract,missing,N,N,N,N,Y,N,missing,missing,female,54,54,missing
55 years,PCT12E,PCT012E162,tract,missing,N,N,N,N,Y,N,missing,missing,female,55,55,missing
56 years,PCT12E,PCT012E163,tract,missing,N,N,N,N,Y,N,missing,missing,female,56,56,missing
57 years,PCT12E,PCT012E164,tract,missing,N,N,N,N,Y,N,missing,missing,female,57,57,missing
58 years,PCT12E,PCT012E165,tract,missing,N,N,N,N,Y,N,missing,missing,female,58,58,missing
59 years,PCT12E,PCT012E166,tract,missing,N,N,N,N,Y,N,missing,missing,female,59,59,missing
60 years,PCT12E,PCT012E167,tract,missing,N,N,N,N,Y,N,missing,missing,female,60,60,missing
61 years,PCT12E,PCT012E168,tract,missing,N,N,N,N,Y,N,missing,missing,female,61,61,missing
62 years,PCT12E,PCT012E169,tract,missing,N,N,N,N,Y,N,missing,missing,female,62,62,missing
63 years,PCT12E,PCT012E170,tract,missing,N,N,N,N,Y,N,missing,missing,female,63,63,missing
64 years,PCT12E,PCT012E171,tract,missing,N,N,N,N,Y,N,missing,missing,female,64,64,missing
65 years,PCT12E,PCT012E172,tract,missing,N,N,N,N,Y,N,missing,missing,female,65,65,missing
66 years,PCT12E,PCT012E173,tract,missing,N,N,N,N,Y,N,missing,missing,female,66,66,missing
67 years,PCT12E,PCT012E174,tract,missing,N,N,N,N,Y,N,missing,missing,female,67,67,missing
68 years,PCT12E,PCT012E175,tract,missing,N,N,N,N,Y,N,missing,missing,female,68,68,missing
69 years,PCT12E,PCT012E176,tract,missing,N,N,N,N,Y,N,missing,missing,female,69,69,missing
70 years,PCT12E,PCT012E177,tract,missing,N,N,N,N,Y,N,missing,missing,female,70,70,missing
71 years,PCT12E,PCT012E178,tract,missing,N,N,N,N,Y,N,missing,missing,female,71,71,missing
72 years,PCT12E,PCT012E179,tract,missing,N,N,N,N,Y,N,missing,missing,female,72,72,missing
73 years,PCT12E,PCT012E180,tract,missing,N,N,N,N,Y,N,missing,missing,female,73,73,missing
74 years,PCT12E,PCT012E181,tract,missing,N,N,N,N,Y,N,missing,missing,female,74,74,missing
75 years,PCT12E,PCT012E182,tract,missing,N,N,N,N,Y,N,missing,missing,female,75,75,missing
76 years,PCT12E,PCT012E183,tract,missing,N,N,N,N,Y,N,missing,missing,female,76,76,missing
77 years,PCT12E,PCT012E184,tract,missing,N,N,N,N,Y,N,missing,missing,female,77,77,missing
78 years,PCT12E,PCT012E185,tract,missing,N,N,N,N,Y,N,missing,missing,female,78,78,missing
79 years,PCT12E,PCT012E186,tract,missing,N,N,N,N,Y,N,missing,missing,female,79,79,missing
80 years,PCT12E,PCT012E187,tract,missing,N,N,N,N,Y,N,missing,missing,female,80,80,missing
81 years,PCT12E,PCT012E188,tract,missing,N,N,N,N,Y,N,missing,missing,female,81,81,missing
82 years,PCT12E,PCT012E189,tract,missing,N,N,N,N,Y,N,missing,missing,female,82,82,missing
83 years,PCT12E,PCT012E190,tract,missing,N,N,N,N,Y,N,missing,missing,female,83,83,missing
84 years,PCT12E,PCT012E191,tract,missing,N,N,N,N,Y,N,missing,missing,female,84,84,missing
85 years,PCT12E,PCT012E192,tract,missing,N,N,N,N,Y,N,missing,missing,female,85,85,missing
86 years,PCT12E,PCT012E193,tract,missing,N,N,N,N,Y,N,missing,missing,female,86,86,missing
87 years,PCT12E,PCT012E194,tract,missing,N,N,N,N,Y,N,missing,missing,female,87,87,missing
88 years,PCT12E,PCT012E195,tract,missing,N,N,N,N,Y,N,missing,missing,female,88,88,missing
89 years,PCT12E,PCT012E196,tract,missing,N,N,N,N,Y,N,missing,missing,female,89,89,missing
90 years,PCT12E,PCT012E197,tract,missing,N,N,N,N,Y,N,missing,missing,female,90,90,missing
91 years,PCT12E,PCT012E198,tract,missing,N,N,N,N,Y,N,missing,missing,female,91,91,missing
92 years,PCT12E,PCT012E199,tract,missing,N,N,N,N,Y,N,missing,missing,female,92,92,missing
93 years,PCT12E,PCT012E200,tract,missing,N,N,N,N,Y,N,missing,missing,female,93,93,missing
94 years,PCT12E,PCT012E201,tract,missing,N,N,N,N,Y,N,missing,missing,female,94,94,missing
95 years,PCT12E,PCT012E202,tract,missing,N,N,N,N,Y,N,missing,missing,female,95,95,missing
96 years,PCT12E,PCT012E203,tract,missing,N,N,N,N,Y,N,missing,missing,female,96,96,missing
97 years,PCT12E,PCT012E204,tract,missing,N,N,N,N,Y,N,missing,missing,female,97,97,missing
98 years,PCT12E,PCT012E205,tract,missing,N,N,N,N,Y,N,missing,missing,female,98,98,missing
99 years,PCT12E,PCT012E206,tract,missing,N,N,N,N,Y,N,missing,missing,female,99,99,missing
100 to 104 years,PCT12E,PCT012E207,tract,missing,N,N,N,N,Y,N,missing,missing,female,100,104,missing
105 to 109 years,PCT12E,PCT012E208,tract,missing,N,N,N,N,Y,N,missing,missing,female,105,109,missing
110 years and over,PCT12E,PCT012E209,tract,missing,N,N,N,N,Y,N,missing,missing,female,110,110,missing
Under 1 year,PCT12F,PCT012F003,tract,missing,N,N,N,N,N,Y,missing,missing,male,0,0,missing
1 year,PCT12F,PCT012F004,tract,missing,N,N,N,N,N,Y,missing,missing,male,1,1,missing
2 years,PCT12F,PCT012F005,tract,missing,N,N,N,N,N,Y,missing,missing,male,2,2,missing
3 years,PCT12F,PCT012F006,tract,missing,N,N,N,N,N,Y,missing,missing,male,3,3,missing
4 years,PCT12F,PCT012F007,tract,missing,N,N,N,N,N,Y,missing,missing,male,4,4,missing
5 years,PCT12F,PCT012F008,tract,missing,N,N,N,N,N,Y,missing,missing,male,5,5,missing
6 years,PCT12F,PCT012F009,tract,missing,N,N,N,N,N,Y,missing,missing,male,6,6,missing
7 years,PCT12F,PCT012F010,tract,missing,N,N,N,N,N,Y,missing,missing,male,7,7,missing
8 years,PCT12F,PCT012F011,tract,missing,N,N,N,N,N,Y,missing,missing,male,8,8,missing
9 years,PCT12F,PCT012F012,tract,missing,N,N,N,N,N,Y,missing,missing,male,9,9,missing
10 years,PCT12F,PCT012F013,tract,missing,N,N,N,N,N,Y,missing,missing,male,10,10,missing
11 years,PCT12F,PCT012F014,tract,missing,N,N,N,N,N,Y,missing,missing,male,11,11,missing
12 years,PCT12F,PCT012F015,tract,missing,N,N,N,N,N,Y,missing,missing,male,12,12,missing
13 years,PCT12F,PCT012F016,tract,missing,N,N,N,N,N,Y,missing,missing,male,13,13,missing
14 years,PCT12F,PCT012F017,tract,missing,N,N,N,N,N,Y,missing,missing,male,14,14,missing
15 years,PCT12F,PCT012F018,tract,missing,N,N,N,N,N,Y,missing,missing,male,15,15,missing
16 years,PCT12F,PCT012F019,tract,missing,N,N,N,N,N,Y,missing,missing,male,16,16,missing
17 years,PCT12F,PCT012F020,tract,missing,N,N,N,N,N,Y,missing,missing,male,17,17,missing
18 years,PCT12F,PCT012F021,tract,missing,N,N,N,N,N,Y,missing,missing,male,18,18,missing
19 years,PCT12F,PCT012F022,tract,missing,N,N,N,N,N,Y,missing,missing,male,19,19,missing
20 years,PCT12F,PCT012F023,tract,missing,N,N,N,N,N,Y,missing,missing,male,20,20,missing
21 years,PCT12F,PCT012F024,tract,missing,N,N,N,N,N,Y,missing,missing,male,21,21,missing
22 years,PCT12F,PCT012F025,tract,missing,N,N,N,N,N,Y,missing,missing,male,22,22,missing
23 years,PCT12F,PCT012F026,tract,missing,N,N,N,N,N,Y,missing,missing,male,23,23,missing
24 years,PCT12F,PCT012F027,tract,missing,N,N,N,N,N,Y,missing,missing,male,24,24,missing
25 years,PCT12F,PCT012F028,tract,missing,N,N,N,N,N,Y,missing,missing,male,25,25,missing
26 years,PCT12F,PCT012F029,tract,missing,N,N,N,N,N,Y,missing,missing,male,26,26,missing
27 years,PCT12F,PCT012F030,tract,missing,N,N,N,N,N,Y,missing,missing,male,27,27,missing
28 years,PCT12F,PCT012F031,tract,missing,N,N,N,N,N,Y,missing,missing,male,28,28,missing
29 years,PCT12F,PCT012F032,tract,missing,N,N,N,N,N,Y,missing,missing,male,29,29,missing
30 years,PCT12F,PCT012F033,tract,missing,N,N,N,N,N,Y,missing,missing,male,30,30,missing
31 years,PCT12F,PCT012F034,tract,missing,N,N,N,N,N,Y,missing,missing,male,31,31,missing
32 years,PCT12F,PCT012F035,tract,missing,N,N,N,N,N,Y,missing,missing,male,32,32,missing
33 years,PCT12F,PCT012F036,tract,missing,N,N,N,N,N,Y,missing,missing,male,33,33,missing
34 years,PCT12F,PCT012F037,tract,missing,N,N,N,N,N,Y,missing,missing,male,34,34,missing
35 years,PCT12F,PCT012F038,tract,missing,N,N,N,N,N,Y,missing,missing,male,35,35,missing
36 years,PCT12F,PCT012F039,tract,missing,N,N,N,N,N,Y,missing,missing,male,36,36,missing
37 years,PCT12F,PCT012F040,tract,missing,N,N,N,N,N,Y,missing,missing,male,37,37,missing
38 years,PCT12F,PCT012F041,tract,missing,N,N,N,N,N,Y,missing,missing,male,38,38,missing
39 years,PCT12F,PCT012F042,tract,missing,N,N,N,N,N,Y,missing,missing,male,39,39,missing
40 years,PCT12F,PCT012F043,tract,missing,N,N,N,N,N,Y,missing,missing,male,40,40,missing
41 years,PCT12F,PCT012F044,tract,missing,N,N,N,N,N,Y,missing,missing,male,41,41,missing
42 years,PCT12F,PCT012F045,tract,missing,N,N,N,N,N,Y,missing,missing,male,42,42,missing
43 years,PCT12F,PCT012F046,tract,missing,N,N,N,N,N,Y,missing,missing,male,43,43,missing
44 years,PCT12F,PCT012F047,tract,missing,N,N,N,N,N,Y,missing,missing,male,44,44,missing
45 years,PCT12F,PCT012F048,tract,missing,N,N,N,N,N,Y,missing,missing,male,45,45,missing
46 years,PCT12F,PCT012F049,tract,missing,N,N,N,N,N,Y,missing,missing,male,46,46,missing
47 years,PCT12F,PCT012F050,tract,missing,N,N,N,N,N,Y,missing,missing,male,47,47,missing
48 years,PCT12F,PCT012F051,tract,missing,N,N,N,N,N,Y,missing,missing,male,48,48,missing
49 years,PCT12F,PCT012F052,tract,missing,N,N,N,N,N,Y,missing,missing,male,49,49,missing
50 years,PCT12F,PCT012F053,tract,missing,N,N,N,N,N,Y,missing,missing,male,50,50,missing
51 years,PCT12F,PCT012F054,tract,missing,N,N,N,N,N,Y,missing,missing,male,51,51,missing
52 years,PCT12F,PCT012F055,tract,missing,N,N,N,N,N,Y,missing,missing,male,52,52,missing
53 years,PCT12F,PCT012F056,tract,missing,N,N,N,N,N,Y,missing,missing,male,53,53,missing
54 years,PCT12F,PCT012F057,tract,missing,N,N,N,N,N,Y,missing,missing,male,54,54,missing
55 years,PCT12F,PCT012F058,tract,missing,N,N,N,N,N,Y,missing,missing,male,55,55,missing
56 years,PCT12F,PCT012F059,tract,missing,N,N,N,N,N,Y,missing,missing,male,56,56,missing
57 years,PCT12F,PCT012F060,tract,missing,N,N,N,N,N,Y,missing,missing,male,57,57,missing
58 years,PCT12F,PCT012F061,tract,missing,N,N,N,N,N,Y,missing,missing,male,58,58,missing
59 years,PCT12F,PCT012F062,tract,missing,N,N,N,N,N,Y,missing,missing,male,59,59,missing
60 years,PCT12F,PCT012F063,tract,missing,N,N,N,N,N,Y,missing,missing,male,60,60,missing
61 years,PCT12F,PCT012F064,tract,missing,N,N,N,N,N,Y,missing,missing,male,61,61,missing
62 years,PCT12F,PCT012F065,tract,missing,N,N,N,N,N,Y,missing,missing,male,62,62,missing
63 years,PCT12F,PCT012F066,tract,missing,N,N,N,N,N,Y,missing,missing,male,63,63,missing
64 years,PCT12F,PCT012F067,tract,missing,N,N,N,N,N,Y,missing,missing,male,64,64,missing
65 years,PCT12F,PCT012F068,tract,missing,N,N,N,N,N,Y,missing,missing,male,65,65,missing
66 years,PCT12F,PCT012F069,tract,missing,N,N,N,N,N,Y,missing,missing,male,66,66,missing
67 years,PCT12F,PCT012F070,tract,missing,N,N,N,N,N,Y,missing,missing,male,67,67,missing
68 years,PCT12F,PCT012F071,tract,missing,N,N,N,N,N,Y,missing,missing,male,68,68,missing
69 years,PCT12F,PCT012F072,tract,missing,N,N,N,N,N,Y,missing,missing,male,69,69,missing
70 years,PCT12F,PCT012F073,tract,missing,N,N,N,N,N,Y,missing,missing,male,70,70,missing
71 years,PCT12F,PCT012F074,tract,missing,N,N,N,N,N,Y,missing,missing,male,71,71,missing
72 years,PCT12F,PCT012F075,tract,missing,N,N,N,N,N,Y,missing,missing,male,72,72,missing
73 years,PCT12F,PCT012F076,tract,missing,N,N,N,N,N,Y,missing,missing,male,73,73,missing
74 years,PCT12F,PCT012F077,tract,missing,N,N,N,N,N,Y,missing,missing,male,74,74,missing
75 years,PCT12F,PCT012F078,tract,missing,N,N,N,N,N,Y,missing,missing,male,75,75,missing
76 years,PCT12F,PCT012F079,tract,missing,N,N,N,N,N,Y,missing,missing,male,76,76,missing
77 years,PCT12F,PCT012F080,tract,missing,N,N,N,N,N,Y,missing,missing,male,77,77,missing
78 years,PCT12F,PCT012F081,tract,missing,N,N,N,N,N,Y,missing,missing,male,78,78,missing
79 years,PCT12F,PCT012F082,tract,missing,N,N,N,N,N,Y,missing,missing,male,79,79,missing
80 years,PCT12F,PCT012F083,tract,missing,N,N,N,N,N,Y,missing,missing,male,80,80,missing
81 years,PCT12F,PCT012F084,tract,missing,N,N,N,N,N,Y,missing,missing,male,81,81,missing
82 years,PCT12F,PCT012F085,tract,missing,N,N,N,N,N,Y,missing,missing,male,82,82,missing
83 years,PCT12F,PCT012F086,tract,missing,N,N,N,N,N,Y,missing,missing,male,83,83,missing
84 years,PCT12F,PCT012F087,tract,missing,N,N,N,N,N,Y,missing,missing,male,84,84,missing
85 years,PCT12F,PCT012F088,tract,missing,N,N,N,N,N,Y,missing,missing,male,85,85,missing
86 years,PCT12F,PCT012F089,tract,missing,N,N,N,N,N,Y,missing,missing,male,86,86,missing
87 years,PCT12F,PCT012F090,tract,missing,N,N,N,N,N,Y,missing,missing,male,87,87,missing
88 years,PCT12F,PCT012F091,tract,missing,N,N,N,N,N,Y,missing,missing,male,88,88,missing
89 years,PCT12F,PCT012F092,tract,missing,N,N,N,N,N,Y,missing,missing,male,89,89,missing
90 years,PCT12F,PCT012F093,tract,missing,N,N,N,N,N,Y,missing,missing,male,90,90,missing
91 years,PCT12F,PCT012F094,tract,missing,N,N,N,N,N,Y,missing,missing,male,91,91,missing
92 years,PCT12F,PCT012F095,tract,missing,N,N,N,N,N,Y,missing,missing,male,92,92,missing
93 years,PCT12F,PCT012F096,tract,missing,N,N,N,N,N,Y,missing,missing,male,93,93,missing
94 years,PCT12F,PCT012F097,tract,missing,N,N,N,N,N,Y,missing,missing,male,94,94,missing
95 years,PCT12F,PCT012F098,tract,missing,N,N,N,N,N,Y,missing,missing,male,95,95,missing
96 years,PCT12F,PCT012F099,tract,missing,N,N,N,N,N,Y,missing,missing,male,96,96,missing
97 years,PCT12F,PCT012F100,tract,missing,N,N,N,N,N,Y,missing,missing,male,97,97,missing
98 years,PCT12F,PCT012F101,tract,missing,N,N,N,N,N,Y,missing,missing,male,98,98,missing
99 years,PCT12F,PCT012F102,tract,missing,N,N,N,N,N,Y,missing,missing,male,99,99,missing
100 to 104 years,PCT12F,PCT012F103,tract,missing,N,N,N,N,N,Y,missing,missing,male,100,104,missing
105 to 109 years,PCT12F,PCT012F104,tract,missing,N,N,N,N,N,Y,missing,missing,male,105,109,missing
110 years and over,PCT12F,PCT012F105,tract,missing,N,N,N,N,N,Y,missing,missing,male,110,110,missing
Under 1 year,PCT12F,PCT012F107,tract,missing,N,N,N,N,N,Y,missing,missing,female,0,0,missing
1 year,PCT12F,PCT012F108,tract,missing,N,N,N,N,N,Y,missing,missing,female,1,1,missing
2 years,PCT12F,PCT012F109,tract,missing,N,N,N,N,N,Y,missing,missing,female,2,2,missing
3 years,PCT12F,PCT012F110,tract,missing,N,N,N,N,N,Y,missing,missing,female,3,3,missing
4 years,PCT12F,PCT012F111,tract,missing,N,N,N,N,N,Y,missing,missing,female,4,4,missing
5 years,PCT12F,PCT012F112,tract,missing,N,N,N,N,N,Y,missing,missing,female,5,5,missing
6 years,PCT12F,PCT012F113,tract,missing,N,N,N,N,N,Y,missing,missing,female,6,6,missing
7 years,PCT12F,PCT012F114,tract,missing,N,N,N,N,N,Y,missing,missing,female,7,7,missing
8 years,PCT12F,PCT012F115,tract,missing,N,N,N,N,N,Y,missing,missing,female,8,8,missing
